IDKEY,RAW_SCHOOL_CODE,BLOCK_ID,BLOCK_NAME,BLOCK_YEAR_BUILT,WALL_2020,WALL_2021,WALL_2022,WALL_2023,WIRING_2020,WIRING_2021,WIRING_2022,WIRING_2023,PILLAR_2020,PILLAR_2021,PILLAR_2022,PILLAR_2023,PAINT_2020,PAINT_2021,PAINT_2022,PAINT_2023,ENROL_DIS20,TEACHER_DIS20,ENROL_DIS21,TEACHER_DIS21,ENROL_DIS22,TEACHER_DIS22,ENROL_JUN23,TEACHER_JUN23,SCHOOL_LEVEL,SCHOOL_CODE,SCHOOL_YEAR_BUILT,SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_GRADE,SCHOOL_TYPE_CODE,FUND,COORDINATE_XX,COORDINATE_YY,WALL_TREND,WALL_RATE,WALL_AVG,WIRING_TREND,WIRING_RATE,WIRING_AVG,PILLAR_TREND,PILLAR_RATE,PILLAR_AVG,PAINT_TREND,PAINT_RATE,PAINT_AVG,BUILDING_AGE,MAINTENANCE_RISK_SCORE,AGE_RISK_SCORE,TOTAL_RISK_SCORE,RISK_LEVEL,RISK_LABEL,RAPID_DETERIORATION,PREDICTED_ISSUES,ISSUE_IMPACTS,PRIMARY_ISSUE
sdv-id-orPeZd,TEB3091,12,KANTIN,1991.0,,2.0,2.0,1,2.0,1.0,4.0,1,1.0,,1.0,1.0,1.0,1.0,1.0,1,1123,94,1017,96,867,94,1038,94,Menengah,TEB3091,09/05/2000,SEKOLAH MENENGAH KEBANGSAAN SULTAN SULAIMAN,SMK,A,201,SK,103.0892225,5.292623146,-1,-0.5,1.5555555555555554,-1,0.0,2.0,0,0.0,1.0,0,0.0,1.0,35.0,2.48,10,12.48,1,VERY_LOW,False,None,{},None
sdv-id-SOvWiS,TBA3066,7,,1991.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,,3.0,1.0,1.0,2.0,,1.0,1,967,58,875,58,658,60,790,62,Rendah,TBA3065,09/03/1965,SEKOLAH KEBANGSAAN PULAU BAHAGIA,SK,A,201,SK,103.0638208,5.229536939,1,0.3,1.4000000000000001,0,0.0,1.0,-2,-1.0,1.4444444444444446,-1,-0.35714285714285715,1.125,35.0,2.11,10,12.11,1,VERY_LOW,False,None,{},None
sdv-id-jMhFHe,TBA3016,16,KANTIN,1953.0,,3.0,2.0,1,,,3.0,1,1.0,2.0,2.0,1.0,1.0,,1.0,1,358,50,745,43,749,45,678,45,Rendah,TBA3016,01/23/1929,SEKOLAH KEBANGSAAN GELUGOR,SK,A,101,SK,103.150184,5.313375092,-2,-1.0,1.777777777777778,-2,-2.0,1.857142857142857,0,0.0,1.5,0,0.0,1.0,73.0,3.83,20,23.83,2,LOW,False,None,{},None
sdv-id-wKFFqP,TFT3001,8,KANTIN,1995.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1,,,1.0,1.0,2.0,1.0,2.0,2,825,82,892,77,919,79,813,76,Rendah,TFT3001,04/08/1958,SEKOLAH MENENGAH IMTIAZ YAYASAN TERENGGANU-KUALA TERENGGANU,SMK,A,209,SBK,103.1609343,5.321102474,0,0.0,1.5,0,0.0,1.0,0,0.0,1.0,0,0.1,1.8,31.0,3.61,10,13.61,1,VERY_LOW,False,None,{},None
sdv-id-LxUJvR,TBA3005,5,KANTIN,1986.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,1.0,1,671,46,641,49,498,51,604,48,Rendah,TBA3005,08/25/1969,SEKOLAH KEBANGSAAN PUSAT BUKIT BESAR,SK,A,101,SK,103.1575559,5.295089895,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,40.0,0.0,15,15.0,2,LOW,False,None,{},None
sdv-id-SMvGzx,TEA3128,16,KANTIN,1999.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2,720,116,913,109,849,108,871,107,Menengah,TEA3128,08/09/1957,SMA KHAIRIAH,SMK,B,206,SK,103.0801756,5.301205609,0,0.0,1.0,0,0.0,1.0,1,0.3,1.4000000000000001,0,0.0,1.5,27.0,4.36,6,10.36,1,VERY_LOW,False,None,{},None
sdv-id-lqhpTW,TBA3007,6,KANTIN,2006.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,248,19,267,20,256,20,259,19,Rendah,TBA3007,10/01/1992,SEKOLAH KEBANGSAAN CHENDERING,SK,A,101,SK,103.138972,5.28187496,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,-0.1,1.2000000000000002,20.0,0.0,6,6.0,1,VERY_LOW,False,None,{},None
sdv-id-EJoeoa,TBA3102,6,KANTIN SEKOLAH,1980.0,1.0,1.0,1.0,1,2.0,3.0,1.0,2,,,1.0,1.0,2.0,1.0,2.0,2,620,58,698,55,822,56,694,57,Rendah,TBA3102,10/13/1960,SEKOLAH KEBANGSAAN DURIAN BURUNG,SK,A,201,SK,103.1101167,5.317716327,0,0.0,1.0,0,-0.2,1.9000000000000001,0,0.0,1.0,0,0.1,1.8,46.0,5.41,15,20.41,2,LOW,False,None,{},None
sdv-id-XQzmQa,TEA3120,9,E,2005.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,486,68,467,68,494,64,484,64,Rendah,TEA3122,03/17/1994,SEKOLAH MENENGAH KEBANGSAAN SERI NILAM,SMK,A,201,SK,103.0421743,5.287940355,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,21.0,0.0,6,6.0,1,VERY_LOW,False,None,{},None
sdv-id-VZxslD,TBA3095,9,KANTIN BLOK BESTARI,1982.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1156,64,911,67,922,66,939,61,Rendah,TBA3099,11/10/1971,SEKOLAH KEBANGSAAN SULTAN SULAIMAN 2,SK,A,201,SK,103.1646009,5.326253234,-1,-0.3,1.1,0,0.0,1.0,0,0.0,1.0,0,-0.1,1.2000000000000002,44.0,0.0,15,15.0,2,LOW,False,None,{},None
sdv-id-KwWXKA,TEA3112,7,BLOK H,1987.0,1.0,2.0,1.0,1,1.0,1.0,1.0,1,1.0,3.0,1.0,1.0,1.0,,1.0,1,711,108,751,103,873,106,680,106,Menengah,TEA3118,06/14/1938,SEKOLAH MENENGAH KEBANGSAAN SERI BUDIMAN,SK,A,209,SBK,103.1471322,5.298164486,0,-0.1,1.2000000000000002,0,0.0,1.0,0,-0.2,1.4,0,0.0,1.0,39.0,0.0,10,10.0,1,VERY_LOW,False,None,{},None
sdv-id-ztBJyP,TBA3041,11,KANTIN,2005.0,1.0,1.0,1.0,2,2.0,1.0,1.0,1,1.0,1.0,,2.0,,1.0,1.0,1,229,18,260,19,243,19,253,19,Rendah,TBA3060,12/30/1944,SEKOLAH KEBANGSAAN GELUGOR,SK,A,101,SK,103.1467097,5.279983657,1,0.3,1.4000000000000001,-1,-0.3,1.1,1,0.35714285714285715,1.5714285714285714,0,0.0,1.0,21.0,6.62,6,12.620000000000001,1,VERY_LOW,False,None,{},None
sdv-id-XUxEsm,TEA3085,9,F ( KANTIN ),1973.0,,3.0,,5,1.0,,1.0,1,1.0,2.0,5.0,1.0,2.0,3.0,1.0,1,668,56,587,58,535,55,544,56,Rendah,TEA3085,04/16/1928,SEKOLAH MENENGAH KEBANGSAAN SERI BUDIMAN,SK,B,209,SK,103.15726,5.276214723,2,1.0,4.333333333333333,0,0.0,1.0,0,0.3,2.4,-1,-0.5,1.5,53.0,18.05,20,38.05,3,MEDIUM,False,Wall (Rapid Deterioration),"{""Wall"": ""MEDIUM""}",Wall
sdv-id-xugrzT,TEA3128,20,KANTIN,2002.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,644,90,710,86,1031,88,777,90,Menengah,TEA3128,09/17/1990,SMA KHAIRIAH,SMK,A,201,SK,103.1645833,5.317477537,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,-0.1,1.2000000000000002,24.0,0.0,6,6.0,1,VERY_LOW,False,None,{},None
sdv-id-ZqqQHL,TEA3110,11,KANTIN,1984.0,1.0,,1.0,2,1.0,1.0,2.0,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1,1001,105,1059,102,1019,105,1081,106,Menengah,TEA3112,11/22/1941,SEKOLAH MENENGAH KEBANGSAAN HAJI ABDUL RAHMAN LIMBONG,SK,A,101,SK,103.148255,5.292478741,1,0.2857142857142857,1.5000000000000002,0,0.1,1.3,1,0.3,1.4000000000000001,0,-0.1,1.2000000000000002,42.0,6.17,15,21.17,2,LOW,False,None,{},None
sdv-id-ASXCyM,TEA3119,11,DEWAN ASRAMA PUTERA,1970.0,,2.0,2.0,1,,,1.0,4,2.0,1.0,,1.0,1.0,1.0,1.0,1,578,41,651,43,628,43,713,43,Rendah,TEA3125,11/20/1957,SEKOLAH MENENGAH SAINS KUALA TERENGGANU,SK,A,201,SK,103.1644523,5.278601001,-1,-0.5,1.5555555555555554,3,3.0,2.714285714285715,-1,-0.2857142857142857,1.1428571428571428,0,0.0,1.0,56.0,21.95,20,41.95,3,MEDIUM,True,Wiring (Rapid Deterioration),"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-SBziUd,TEA3125,6,KANTIN 1,2003.0,1.0,2.0,1.0,1,4.0,,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,933,75,788,71,881,74,788,70,Menengah,TEA3130,11/10/1992,SMA KHAIRIAH,SK,A,201,SK,103.1284192,5.319077418,0,-0.1,1.2000000000000002,-3,-1.0714285714285714,1.375,0,0.0,1.0,0,0.1,1.3,23.0,0.0,6,6.0,1,VERY_LOW,False,None,{},None
sdv-id-jFxIaq,TBA3018,6,KANTIN,2008.0,,,1.0,1,2.0,1.0,1.0,1,,1.0,1.0,1.0,,1.0,1.0,1,267,21,264,22,258,22,282,22,Rendah,TBA3019,12/05/1994,SEKOLAH KEBANGSAAN BANGGOL KATONG,SK,B,101,SK,103.1611921,5.305770172,0,0.0,1.0,-1,-0.3,1.1,0,0.0,1.0,0,0.0,1.0,18.0,0.0,3,3.0,1,VERY_LOW,False,None,{},None
sdv-id-dTWlCy,TBA3004,8,KANTIN,1959.0,,3.0,2.0,1,,,4.0,4,,3.0,,1.0,1.0,1.0,1.0,1,356,25,503,26,488,26,504,25,Rendah,TBA3005,09/23/1928,SEKOLAH KEBANGSAAN PUSAT KUALA IBAI,SK,A,101,SK,103.1642625,5.275639076,-2,-1.0,1.777777777777778,0,0.0,4.0,-2,-1.0,1.6666666666666665,0,0.0,1.0,67.0,23.31,20,43.31,3,MEDIUM,False,Wiring,"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-wvKTCK,TEA3119,11,KANTIN,1978.0,1.0,1.0,,1,1.0,1.0,1.0,1,3.0,,1.0,1.0,1.0,,1.0,1,271,51,397,52,315,51,333,51,Menengah,TEA3120,09/07/1999,SEKOLAH MENENGAH KEBANGSAAN BUKIT BESAR,SK,A,201,SK,103.1495778,5.286887807,0,0.0,1.0,0,0.0,1.0,-2,-0.7142857142857143,1.25,0,0.0,1.0,48.0,0.0,15,15.0,2,LOW,False,None,{},None
sdv-id-HgPxfC,TEA3122,21,KANTIN,2000.0,2.0,1.0,2.0,2,1.0,1.0,1.0,1,1.0,,1.0,1.0,1.0,1.0,1.0,1,626,69,691,69,708,70,693,69,Rendah,TEA3120,12/17/1994,SEKOLAH MENENGAH KEBANGSAAN CHENDERING,SK,A,101,SK,103.1282412,5.24836387,0,0.1,1.8,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,26.0,2.41,6,8.41,1,VERY_LOW,False,None,{},None
sdv-id-qprjsO,TBA3063,4,,1973.0,,1.0,,2,,,,4,,,,1.0,2.0,1.0,2.0,1,208,19,221,20,196,20,199,19,Rendah,TBA3062,01/14/1947,SEKOLAH KEBANGSAAN ATAS TOL,SK,A,101,SK,103.0893705,5.289409029,1,0.5,1.6666666666666665,0,0.0,4.0,0,0.0,1.0,-1,-0.2,1.4,53.0,24.06,20,44.06,3,MEDIUM,False,Wiring,"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-WxCMzv,TBC3094,9,KANTIN,1966.0,,2.0,,1,2.0,1.0,1.0,1,1.0,1.0,,2.0,1.0,1.0,,1,449,52,612,45,685,47,588,44,Rendah,TBC3094,11/16/1922,SEKOLAH MENENGAH KEBANGSAAN PADANG MIDIN,SK,A,101,SK,103.1578219,5.282433406,-1,-0.5,1.3333333333333333,-1,-0.3,1.1,1,0.35714285714285715,1.5714285714285714,0,0.0,1.0,60.0,4.51,20,24.509999999999998,2,LOW,False,None,{},None
sdv-id-DauVYr,TEA3118,11,KANTIN,1993.0,1.0,1.0,1.0,1,,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,2.0,2,903,103,1078,104,1084,103,1096,107,Menengah,TEA3112,04/30/2002,SEKOLAH MENENGAH KEBANGSAAN CHENDERING,SK,A,201,SK,103.1253187,5.309957804,0,0.0,1.0,-1,-0.5,1.2222222222222223,0,0.0,1.0,1,0.35714285714285715,1.875,33.0,1.5,10,11.5,1,VERY_LOW,False,None,{},None
sdv-id-bsPKPg,TFT3001,5,KANTIN,2008.0,1.0,2.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,814,92,668,92,927,96,801,96,Menengah,TFT3001,01/09/2010,SEKOLAH MENENGAH IMTIAZ YAYASAN TERENGGANU-KUALA TERENGGANU,SMKA,A,201,SK,103.1670998,5.285599125,0,-0.1,1.2000000000000002,0,0.0,1.0,0,0.0,1.0,0,-0.1,1.2000000000000002,18.0,0.0,3,3.0,1,VERY_LOW,False,None,{},None
sdv-id-xwsBwv,TBA3032,7,KANTIN,1990.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,,2.0,1.0,1.0,1.0,1.0,1.0,1,375,20,355,21,302,22,335,21,Rendah,TBA3036,01/05/1941,SEKOLAH KEBANGSAAN KAMPUNG BAHARU SERADA,SK,A,101,SK,103.166958,5.26382665,1,0.3,1.4000000000000001,0,0.0,1.0,-1,-0.5,1.2222222222222223,0,0.0,1.0,36.0,2.11,10,12.11,1,VERY_LOW,False,None,{},None
sdv-id-zaRnnB,TBA3007,8,KANTIN,2011.0,,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,353,18,254,19,225,19,235,19,Rendah,TBA3007,05/20/1939,SEKOLAH KEBANGSAAN PUSAT KUALA IBAI,SK,B,101,SK,103.1669623,5.33639,0,0.0,1.0,0,0.0,1.0,0,0.1,1.3,0,0.0,1.0,15.0,0.0,3,3.0,1,VERY_LOW,False,None,{},None
sdv-id-tyKLCp,TEB3091,9,,2000.0,,,2.0,1,4.0,4.0,1.0,2,,3.0,1.0,1.0,1.0,1.0,2.0,1,375,54,458,52,614,54,502,54,Rendah,TEB3091,12/29/2001,SMA KHAIRIAH,SK,A,201,SBK,103.0607209,5.272192812,-1,-1.0,1.4285714285714286,-2,-0.9,2.3000000000000003,-2,-1.0,1.4444444444444446,0,0.1,1.3,26.0,4.21,6,10.21,1,VERY_LOW,False,None,{},None
sdv-id-fGSzbe,TEB3091,5,KARISMA,2006.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,976,67,716,68,860,72,800,68,Menengah,TEB3092,05/21/1994,SEKOLAH MENENGAH KEBANGSAAN SULTAN SULAIMAN,SK,A,206,SK,103.0451007,5.314680023,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,2.0,20.0,1.2,6,7.2,1,VERY_LOW,False,None,{},None
sdv-id-FvCHDV,TBA3062,6,KANTIN,1971.0,1.0,1.0,1.0,1,2.0,1.0,2.0,2,,,1.0,1.0,1.0,2.0,1.0,1,175,25,272,24,246,25,251,24,Rendah,TBA3063,03/11/1946,SEKOLAH KEBANGSAAN KEBOR BESAR,SK,A,201,SBK,103.1135978,5.268329446,0,0.0,1.0,0,0.1,1.8,0,0.0,1.0,0,-0.1,1.2000000000000002,55.0,4.21,20,24.21,2,LOW,False,None,{},None
sdv-id-nOHiMM,TBA3029,5,BLOK KANTIN,1992.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,182,18,206,20,196,19,200,19,Rendah,TBA3032,02/28/1956,SEKOLAH KEBANGSAAN KAMPONG BUKIT CHENDERING,SMK,A,102,SBK,103.0660285,5.293928698,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,-1,-0.4,1.3000000000000003,34.0,0.0,10,10.0,1,VERY_LOW,False,None,{},None
sdv-id-IebRjR,TFT3001,8,KANTIN,1989.0,,1.0,2.0,1,4.0,,4.0,4,,1.0,1.0,1.0,,,1.0,1,403,44,432,51,346,48,452,48,Menengah,TFT3001,06/01/1983,SMA KHAIRIAH,SMK,A,101,SK,103.1055235,5.311753577,0,0.0,1.3333333333333335,0,0.0,4.0,0,0.0,1.0,0,0.0,1.0,37.0,21.05,10,31.05,3,MEDIUM,False,Wiring,"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-nZPmzT,TEB3092,6,KANTIN,1994.0,1.0,1.0,1.0,1,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2,903,99,785,95,862,100,857,90,Menengah,TEB3093,09/02/1964,SMA (ATAS) SULTAN ZAINAL ABIDIN,SMK,A,201,SK,103.1544362,5.330334787,0,0.0,1.0,3,0.9,2.2,0,0.0,1.0,1,0.3,1.9000000000000001,32.0,19.4,10,29.4,2,LOW,True,Wiring (Rapid Deterioration),"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-BsakEi,TBA3086,1,KANTIN,1990.0,1.0,1.0,1.0,1,1.0,1.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,180,21,196,23,175,22,177,22,Menengah,TBA3089,07/27/1965,SEKOLAH KEBANGSAAN SERI BUDIMAN,SK,A,101,SK,103.061187,5.305838584,0,0.0,1.0,0,0.2,1.6,0,0.0,1.0,0,0.0,1.0,36.0,1.58,10,11.58,1,VERY_LOW,False,None,{},None
sdv-id-VLRPJG,TBA3028,9,AL_BUKHARI/KANTIN LAMA,1973.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2,,1.0,1.0,1.0,1.0,,1.0,1,1527,81,1435,87,1321,86,1397,86,Rendah,TBA3027,05/31/1937,SEKOLAH KEBANGSAAN PASIR PANJANG,SK,A,101,SK,103.145776,5.314566798,0,0.0,1.0,1,0.3,1.4000000000000001,0,0.0,1.0,0,0.0,1.0,53.0,3.68,20,23.68,2,LOW,False,None,{},None
sdv-id-RJDAgR,TEA3112,4,KANTIN,1989.0,1.0,1.0,2.0,2,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,781,60,635,59,579,60,598,54,Rendah,TEA3112,11/25/1992,SEKOLAH KEBANGSAAN SULTAN SULAIMAN 2,SMK,A,101,SK,103.1634981,5.267016841,1,0.4,1.7000000000000002,3,0.9,2.2,0,0.0,1.0,-1,-0.3,1.1,37.0,20.9,10,30.9,3,MEDIUM,True,Wiring (Rapid Deterioration),"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-HaQYko,TFT3004,8,BLOK H,2017.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,612,68,572,68,504,68,535,65,Rendah,TFT3004,07/14/2007,SEKOLAH MENENGAH IMTIAZ YAYASAN TERENGGANU-KUALA TERENGGANU,SMK,A,201,SK,103.0571133,5.31163663,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,-1,-0.3,1.1,9.0,0.0,0,0.0,1,VERY_LOW,False,None,{},None
sdv-id-OVNXBB,TBA3063,6,KANTIN,1993.0,,1.0,1.0,1,,1.0,1.0,2,1.0,,5.0,1.0,,1.0,2.0,1,202,19,231,19,239,20,229,19,Rendah,TBA3062,01/22/1945,SEKOLAH KEBANGSAAN PADANG MIDIN,SK,B,101,SK,103.1607867,5.305071952,0,0.0,1.0,1,0.5,1.4444444444444444,0,0.28571428571428575,2.5,0,0.0,1.3333333333333335,33.0,5.04,10,15.04,2,LOW,True,None,{},None
sdv-id-eRXzia,TFT3001,6,KANTIN SEKOLAH,2000.0,2.0,,2.0,1,,3.0,,1,1.0,1.0,1.0,1.0,1.0,,1.0,1,1228,119,1255,117,1261,122,1189,120,Menengah,TFT3001,01/24/2003,SMA KHAIRIAH,SK,A,201,SK,103.0551601,5.310545596,-1,-0.2857142857142857,1.5000000000000002,-2,-1.0,1.6666666666666665,0,0.0,1.0,0,0.0,1.0,26.0,2.48,6,8.48,1,VERY_LOW,False,None,{},None
sdv-id-yqplJt,TBA3007,8,KANTIN,1956.0,1.0,3.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,695,72,887,69,748,69,821,70,Rendah,TBA3007,09/17/1930,SEKOLAH KEBANGSAAN PASIR PANJANG,SK,A,101,SK,103.1607013,5.289573832,0,-0.2,1.4,0,0.0,1.0,0,0.0,1.0,-1,-0.3,1.1,70.0,0.0,20,20.0,2,LOW,False,None,{},None
